order_id,order_date,customer_id,customer_segment,region,product_id,product_name,category,price,quantity,payment_method
1001,2024-01-05,C001,New,West,P101,Wireless Mouse,Electronics,19.99,2,Card
1002,2024-01-06,C002,Returning,East,P102,USB-C Cable,Electronics,9.99,3,Card
1003,2024-01-06,C003,New,South,P103,Water Bottle,Home,14.50,1,Cash
1004,2024-01-10,C001,New,West,P104,Notebook Set,Office,12.00,4,Card
1005,2024-01-12,C004,Returning,North,P105,Coffee Beans,Food,18.75,2,Wallet
1006,2024-01-15,C005,New,East,P101,Wireless Mouse,Electronics,19.99,1,Card
1007,2024-02-02,C006,Returning,South,P106,Yoga Mat,Fitness,29.90,1,Card
1008,2024-02-05,C007,New,West,P107,Bluetooth Speaker,Electronics,45.00,1,Wallet
1009,2024-02-11,C008,Returning,North,P108,Scented Candle,Home,16.20,3,Cash
1010,2024-02-18,C002,Returning,East,P109,Desk Lamp,Home,32.00,1,Card
1011,2024-03-01,C009,New,South,P110,Protein Bar Box,Food,24.99,2,Wallet
1012,2024-03-04,C010,Returning,West,P102,USB-C Cable,Electronics,9.99,5,Card
1013,2024-03-09,C011,New,North,P111,Running Socks,Fitness,11.50,4,Cash
1014,2024-03-12,C004,Returning,North,P105,Coffee Beans,Food,18.75,1,Wallet
1015,2024-03-20,C012,New,East,P107,Bluetooth Speaker,Electronics,45.00,1,Card
1016,2024-04-02,C013,Returning,South,P112,Blender,Home,59.00,1,Card
1017,2024-04-05,C014,New,West,P113,Phone Stand,Electronics,8.99,3,Cash
1018,2024-04-08,C015,Returning,East,P114,White T-Shirt,Fashion,15.00,4,Wallet
1019,2024-04-15,C016,New,North,P115,Denim Jeans,Fashion,49.90,1,Card
1020,2024-04-21,C010,Returning,West,P109,Desk Lamp,Home,32.00,2,Card
1021,2024-05-03,C017,New,South,P106,Yoga Mat,Fitness,29.90,2,Cash
1022,2024-05-06,C018,Returning,East,P116,Shampoo Set,Beauty,22.50,1,Wallet
1023,2024-05-10,C019,New,West,P117,Face Moisturizer,Beauty,28.00,1,Card
1024,2024-05-18,C020,Returning,North,P118,Snack Mix,Food,6.80,6,Cash
1025,2024-06-01,C021,New,West,P119,Keyboard,Electronics,39.99,1,Card
1026,2024-06-06,C022,Returning,South,P120,Resistance Bands,Fitness,17.50,2,Wallet
1027,2024-06-10,C023,New,East,P121,Office Chair,Office,129.00,1,Card
1028,2024-06-14,C024,Returning,North,P104,Notebook Set,Office,12.00,3,Cash
1029,2024-06-22,C025,New,West,P108,Scented Candle,Home,16.20,2,Wallet
1030,2024-06-28,C002,Returning,East,P101,Wireless Mouse,Electronics,19.99,2,Card
